City,Mean underproduction,Units built to units claimed ratio on matched sites,RHNA Success,P(inventory) for homes built,P(dev) for nonvacant sites,P(dev) for vacant sites,P(dev) for inventory,# nonvacant matches,# vacant matches,# matches
Concord,0.6976190476190476,0.7407407407407407,0.06900517538815411,0.12083333333333333,0.010416666666666666,0.16666666666666666,0.06775067750677506,1 / 96,13 / 78,25 / 369
Corte Madera,1.0,1.0,0.4861111111111111,0.5142857142857142,0.0,0.3,0.2727272727272727,0 / 1,3 / 10,3 / 11
Cotati,,,0.6131386861313869,0.4166666666666667,0.0,0.0,0.4117647058823529,0 / 7,0 / 31,35 / 85
Cupertino,1.7272727272727273,1.7272727272727273,0.2556390977443609,0.06985294117647059,,,0.03571428571428571,0 / 0,0 / 0,1 / 28
Daly City,4.12,4.12,0.5407407407407407,0.363013698630137,0.0,0.16666666666666666,0.1590909090909091,0 / 7,1 / 6,7 / 44
Danville,1.0863183031324626,2.042682926829268,1.0161579892280073,0.6925795053003534,0.2,0.0,0.13095238095238096,5 / 25,0 / 12,11 / 84
Dixon,0.3990961394743126,0.34146341463414637,1.0558375634517767,0.46153846153846156,0.0,0.36363636363636365,0.2631578947368421,0 / 2,4 / 11,5 / 19
Dublin,1.4166666666666667,0.7432432432432432,2.1260393873085337,0.011321531494442157,0.037037037037037035,0.0,0.02564102564102564,2 / 54,0 / 24,2 / 78
East Palo Alto,,,0.2012847965738758,0.0,0.0,0.0,0.0,0 / 27,0 / 8,0 / 39
El Cerrito,,,1.085427135678392,0.009259259259259259,0.0,0.03896103896103896,0.03361344537815126,0 / 6,3 / 77,4 / 119
Emeryville,,,0.38651535380507346,0.0,0.0,0.0,0.0,0 / 5,0 / 3,0 / 39
Fairfax,1.7833333333333332,1.380952380952381,1.459016393442623,0.651685393258427,0.02631578947368421,0.14285714285714285,0.057692307692307696,1 / 38,2 / 14,3 / 52
Fairfield,0.32666666666666666,0.25573770491803277,0.6625806451612903,0.0379746835443038,0.0,0.025974025974025976,0.023255813953488372,0 / 2,2 / 77,2 / 86
Fremont,1.00613199335567,1.0268047177308341,1.1035747021081577,0.17308970099667775,0.04964539007092199,0.047619047619047616,0.04938271604938271,7 / 141,1 / 21,8 / 162
Gilroy,,,1.5091911764705883,0.10048721071863581,0.0,0.0,0.1794871794871795,0 / 3,0 / 5,7 / 39
Half Moon Bay,1.0192307692307692,0.8947368421052632,0.2916666666666667,0.2571428571428571,0.0,0.039755351681957186,0.02157164869029276,0 / 12,13 / 327,14 / 649
Hayward,0.41429921522558544,0.43664717348927873,0.5877551020408164,0.2065972222222222,0.17543859649122806,0.05263157894736842,0.09836065573770492,10 / 57,2 / 38,18 / 183
Healdsburg,0.12941176470588237,0.09090909090909091,1.5923566878980893,0.008,0.047619047619047616,0.027777777777777776,0.03333333333333333,1 / 21,1 / 36,2 / 60
Hercules,,,1.0835777126099706,0.0,,0.0,0.0,0 / 0,0 / 14,0 / 14
Lafayette,0.5625,0.9054054054054054,0.7825,0.21405750798722045,0.0625,0.3333333333333333,0.027777777777777776,1 / 16,1 / 3,2 / 72
Larkspur,,,0.5909090909090909,0.01282051282051282,0.0,,0.05263157894736842,0 / 3,0 / 0,1 / 19
Livermore,0.9160798408518641,0.954248366013072,0.7299377061194576,0.5130522088353414,0.05319148936170213,0.17475728155339806,0.11386138613861387,5 / 94,18 / 103,23 / 202
Los Altos,0.9285714285714286,0.8888888888888888,1.1153039832285114,0.06015037593984962,0.08823529411764706,0.17391304347826086,0.12280701754385964,3 / 34,4 / 23,7 / 57
Los Altos Hills,0.6958333333333333,0.5476190476190477,1.1818181818181819,0.20279720279720279,0.05042016806722689,0.26666666666666666,0.1079136690647482,6 / 119,4 / 15,15 / 139
Los Gatos,,,0.2148626817447496,0.0,0.0,0.0,0.0,0 / 6,0 / 3,0 / 36
Martinez,0.8073291925465839,0.3564356435643564,0.3283582089552239,0.23376623376623376,0.0,0.029045643153526972,0.026217228464419477,0 / 26,7 / 241,7 / 267
Menlo Park,3.5820046011945132,2.4520414336726732,1.7694656488549618,0.3710094909404659,0.052884615384615384,0.08108108108108109,0.05714285714285714,11 / 208,3 / 37,14 / 245
Mill Valley,1.0,1.0,0.7441860465116279,0.010416666666666666,0.0,0.03333333333333333,0.017857142857142856,0 / 25,1 / 30,1 / 56
Millbrae,1.8,1.8,0.11161387631975868,0.7297297297297297,0.008,0.0,0.007575757575757576,1 / 125,0 / 4,1 / 132
Milpitas,0.43396838416788114,0.3478628861616589,0.9477203647416413,0.6821680564464401,0.2222222222222222,0.0,0.24561403508771928,4 / 18,0 / 7,42 / 171
Monte Sereno,,,0.7704918032786885,0.0,0.0,,0.0,0 / 5,0 / 0,0 / 6
Moraga,0.8,0.8,0.3406113537117904,0.05128205128205128,0.0,0.029411764705882353,0.024390243902439025,0 / 1,1 / 34,1 / 41
Morgan Hill,1.9864341694795888,0.8671023965141612,2.2025862068965516,0.19471624266144813,,0.175,0.175,0 / 0,14 / 80,14 / 80
Mountain View,5.609113237345148,0.5173501577287066,1.2231715652768285,0.17826208438111205,0.2,0.2857142857142857,0.10752688172043011,5 / 25,2 / 7,10 / 93
Napa,1.1364956122309064,1.2552083333333333,1.2395209580838322,0.23285024154589373,0.08108108108108109,0.11904761904761904,0.08080808080808081,3 / 37,5 / 42,8 / 99
Newark,0.572086349907158,0.3864628820960699,1.1103896103896105,0.9707602339181286,0.1111111111111111,0.25,0.16312056737588654,1 / 9,1 / 4,23 / 141
Novato,1.0,1.0,0.6433734939759036,0.003745318352059925,,,0.014705882352941176,0 / 0,0 / 0,1 / 68
Oakland,2.5178806607621307,1.434540389972145,1.2998306806637319,0.15636723634847854,,,0.05507246376811594,0 / 0,0 / 0,19 / 345
Oakley,0.1,0.1,1.1078767123287672,0.006955177743431221,0.0,1.0,0.14285714285714285,0 / 6,1 / 1,1 / 7
Pacifica,,,0.21307506053268765,0.0,0.0,0.0,0.0,0 / 18,0 / 9,0 / 43
Palo Alto,0.8083333333333332,0.8709677419354839,0.2630784708249497,0.05162523900573614,0.01818181818181818,0.0,0.01775147928994083,3 / 165,0 / 4,3 / 169
Petaluma,0.7405753968253967,1.1357466063348416,1.1798657718120806,0.310580204778157,,,0.06976744186046512,0 / 0,0 / 0,6 / 86
Piedmont,1.0,1.0,0.8,0.020833333333333332,,0.017241379310344827,0.017241379310344827,0 / 0,1 / 58,1 / 58
Pinole,1.0,1.0,0.04377104377104377,0.07692307692307693,0.0,0.03225806451612903,0.016666666666666666,0 / 4,1 / 31,1 / 60
Pittsburg,0.8220111448834854,0.14153132250580047,0.9264197530864198,0.03251599147121535,0.0,0.17647058823529413,0.10714285714285714,0 / 7,3 / 17,3 / 28
Pleasant Hill,,,0.42857142857142855,0.005208333333333333,,,0.034482758620689655,0 / 0,0 / 0,1 / 29
Pleasanton,0.8498178709485579,0.8569739952718676,1.0270924044508951,0.3471502590673575,0.25,0.27586206896551724,0.20588235294117646,3 / 12,8 / 29,14 / 68
Portola Valley,1.25,1.25,1.234375,0.16455696202531644,,0.10526315789473684,0.1282051282051282,0 / 0,8 / 76,10 / 78
Redwood City,2.4,2.4,1.0656149157404087,0.008075370121130552,0.0,0.07692307692307693,0.017857142857142856,0 / 15,1 / 13,1 / 56
Richmond,0.6723422554069179,0.616316085686824,0.40492813141683776,0.002028397565922921,,0.008968609865470852,0.008968609865470852,0 / 0,2 / 223,2 / 223
Rio Vista,0.5091575091575091,0.5091575091575091,1.7123745819397993,0.271484375,,0.043478260869565216,0.043478260869565216,0 / 0,1 / 23,1 / 23
Rohnert Park,,,1.4149054505005563,0.0,0.0,0.0,0.0,0 / 3,0 / 1,0 / 35
Ross,,,1.0,0.0,0.0,0.0,0.0,0 / 8,0 / 11,0 / 25
San Anselmo,1.0,1.0,1.509433962264151,0.1375,0.043478260869565216,,0.04697986577181208,1 / 23,0 / 0,7 / 149
San Bruno,,,0.21645021645021645,0.0,0.0,,0.0,0 / 6,0 / 0,0 / 6
San Carlos,1.825,1.5238095238095237,0.8640939597315436,0.12427184466019417,0.01910828025477707,0.10810810810810811,0.02849002849002849,6 / 314,4 / 37,10 / 351
San Francisco,3.4606554678597403,2.182644941265631,0.9030794277598808,0.2209351386598136,0.02656449553001277,0.043315907393577296,0.030833650551960412,104 / 3915,58 / 1339,162 / 5254
San Jose,0.9009811879118965,0.7371330537552421,0.48255416191562145,0.22843809073724008,0.07317073170731707,0.096,0.0846774193548387,18 / 246,24 / 250,42 / 496
San Leandro,1.0,1.0,0.06034105815478793,0.007246376811594203,0.0,0.029411764705882353,0.007142857142857143,0 / 53,1 / 34,1 / 140
San Mateo,1.2236647613523617,0.9245541838134431,0.5458064516129032,0.3983451536643026,0.1,0.1,0.06382978723404255,3 / 30,3 / 30,6 / 94
San Pablo,1.0,1.0,0.18930957683741648,0.011764705882352941,0.0,0.02631578947368421,0.008,0 / 62,1 / 38,1 / 125
San Rafael,0.437984496124031,0.373134328358209,0.23634558093346575,0.11764705882352941,0.125,0.058823529411764705,0.057971014492753624,1 / 8,1 / 17,4 / 69
San Ramon,0.8571428571428571,0.8571428571428571,1.36908962597036,0.009278350515463918,0.0,0.0,0.005263157894736842,0 / 30,0 / 4,1 / 190
Santa Clara,2.0253465483637627,1.0033057851239668,1.5206450036647936,0.09752570694087404,0.04830917874396135,0.07142857142857142,0.049773755656108594,10 / 207,1 / 14,11 / 221
Santa Rosa,,,0.37418847137517214,0.0,,,0.0,0 / 0,0 / 0,0 / 34
Saratoga,,,0.18906605922551253,0.0,0.0,,0.0,0 / 8,0 / 0,0 / 14
Sausalito,,,0.3670886075949367,0.0,0.0,0.0,0.0,0 / 60,0 / 27,0 / 87
Sebastopol,0.75,0.6666666666666666,0.225,0.07407407407407407,,0.044444444444444446,0.04081632653061224,0 / 0,2 / 45,2 / 49
Sonoma,0.10256410256410256,0.10256410256410256,1.0218978102189782,0.02857142857142857,0.0,0.2,0.043478260869565216,0 / 13,1 / 5,1 / 23
South San Francisco,7.228899229781772,5.436781609195402,0.5826180257510729,0.43554327808471455,0.12,0.1,0.11428571428571428,3 / 25,1 / 10,4 / 35
Suisun City,,,0.16435643564356436,0.0,0.0,0.0,0.0,0 / 1,0 / 31,0 / 36
Sunnyvale,0.7773652784066506,0.839554682383759,0.6056493030080704,0.3882495457298607,0.06506849315068493,0.2,0.06666666666666667,19 / 292,1 / 5,20 / 300
Tiburon,,,0.2692307692307692,0.0,0.0,0.0,0.0,0 / 3,0 / 2,0 / 5
Union City,0.8,0.6521739130434783,0.38788426763110306,0.06993006993006994,0.16666666666666666,0.06666666666666667,0.05714285714285714,1 / 6,1 / 15,2 / 35
Vacaville,0.659258623344033,0.48928571428571427,1.5156826568265682,0.310407790626902,0.0,0.11428571428571428,0.07692307692307693,0 / 44,8 / 70,10 / 130
Vallejo,0.875,0.8,0.19089574155653452,0.015384615384615385,,0.006666666666666667,0.006622516556291391,0 / 0,2 / 300,2 / 302
Walnut Creek,1.4235294117647057,1.380952380952381,0.680089485458613,0.038157894736842106,0.008264462809917356,0.5,0.016129032258064516,1 / 121,1 / 2,2 / 124
Windsor,,,0.45454545454545453,0.09,0.0,0.0,0.19607843137254902,0 / 3,0 / 4,10 / 51
Woodside,,,1.1612903225806452,0.041666666666666664,,0.011278195488721804,0.011278195488721804,0 / 0,3 / 266,3 / 266
Yountville,,,0.8823529411764706,0.0,0.0,0.0,0.0,0 / 5,0 / 9,0 / 14
Overall,1.959731925451599,0.9447212829633745,0.7621628810043087,0.19850780644756036,0.03491655969191271,0.05502846299810247,0.04838095238095238,272 / 7790,290 / 5270,762 / 15750
