City,Mean underproduction,RHNA Success,P(inventory) for homes built,P(dev) for nonvacant sites,P(dev) for vacant sites,P(dev) for inventory,# nonvacant matches,# vacant matches,# matches
Dixon,0.1184904204706185,1.0558375634517767,0.11057692307692307,0.0,0.36363636363636365,0.2631578947368421,0 / 2,4 / 11,5 / 19
Dublin,1.2853535353535352,2.1260393873085337,0.008645533141210375,0.037037037037037035,0.0,0.02564102564102564,2 / 54,0 / 24,2 / 78
East Palo Alto,,0.2012847965738758,0.0,0.0,0.0,0.0,0 / 27,0 / 8,0 / 39
El Cerrito,,1.085427135678392,0.009259259259259259,0.0,0.03896103896103896,0.03361344537815126,0 / 6,3 / 77,4 / 119
Emeryville,,0.38651535380507346,0.0,0.0,0.0,0.0,0 / 5,0 / 3,0 / 39
Fairfax,2.0,1.459016393442623,0.0449438202247191,0.02631578947368421,0.14285714285714285,0.057692307692307696,1 / 38,2 / 14,3 / 52
Fairfield,0.3,0.6625806451612903,0.0014605647517039922,0.0,0.025974025974025976,0.023255813953488372,0 / 2,2 / 77,2 / 86
Fremont,0.4375404080104441,1.1035747021081577,0.11212624584717608,0.04964539007092199,0.047619047619047616,0.06172839506172839,7 / 141,1 / 21,10 / 162
Gilroy,,1.5091911764705883,0.0,0.0,0.0,0.1794871794871795,0 / 3,0 / 5,7 / 39
Half Moon Bay,0.8827450980392156,0.2916666666666667,0.34285714285714286,0.0,0.039755351681957186,0.029275808936825885,0 / 12,13 / 327,19 / 649
Hayward,0.29370300751879697,0.5877551020408164,0.020399305555555556,0.17543859649122806,0.05263157894736842,0.10382513661202186,10 / 57,2 / 38,19 / 183
Healdsburg,0.2785714285714286,1.5923566878980893,0.028,0.047619047619047616,0.027777777777777776,0.03333333333333333,1 / 21,1 / 36,2 / 60
Hercules,,1.0835777126099706,0.0,,0.0,0.0,0 / 0,0 / 14,0 / 14
Lafayette,0.875,0.7825,0.23003194888178913,0.0625,0.3333333333333333,0.027777777777777776,1 / 16,1 / 3,2 / 72
Larkspur,,0.5909090909090909,0.01282051282051282,0.0,,0.05263157894736842,0 / 3,0 / 0,1 / 19
Livermore,1.2383854772109975,0.7299377061194576,0.24497991967871485,0.05319148936170213,0.17475728155339806,0.13861386138613863,5 / 94,18 / 103,28 / 202
Los Altos,0.9444444444444444,1.1153039832285114,0.06390977443609022,0.08823529411764706,0.17391304347826086,0.12280701754385964,3 / 34,4 / 23,7 / 57
Los Altos Hills,0.7559523809523808,1.1818181818181819,0.13986013986013987,0.05042016806722689,0.26666666666666666,0.1079136690647482,6 / 119,4 / 15,15 / 139
Los Gatos,,0.2148626817447496,0.0,0.0,0.0,0.0,0 / 6,0 / 3,0 / 36
Martinez,1.0,0.3283582089552239,0.01948051948051948,0.0,0.029045643153526972,0.026217228464419477,0 / 26,7 / 241,7 / 267
Menlo Park,0.5546536796536797,1.7694656488549618,0.022433132010353754,0.052884615384615384,0.08108108108108109,0.061224489795918366,11 / 208,3 / 37,15 / 245
Mill Valley,1.0,0.7441860465116279,0.010416666666666666,0.0,0.03333333333333333,0.017857142857142856,0 / 25,1 / 30,1 / 56
Millbrae,,0.11161387631975868,0.0,0.008,0.0,0.007575757575757576,1 / 125,0 / 4,1 / 132
Milpitas,0.468768694043304,0.9477203647416413,0.5291853752405388,0.2222222222222222,0.0,0.25146198830409355,4 / 18,0 / 7,43 / 171
Monte Sereno,,0.7704918032786885,0.0,0.0,,0.0,0 / 5,0 / 0,0 / 6
Moraga,,0.3406113537117904,0.0,0.0,0.029411764705882353,0.024390243902439025,0 / 1,1 / 34,1 / 41
Morgan Hill,0.0655570652173913,2.2025862068965516,0.003913894324853229,,0.175,0.225,0 / 0,14 / 80,18 / 80
Mountain View,8.753160289542274,1.2231715652768285,0.1838502374965074,0.2,0.2857142857142857,0.12903225806451613,5 / 25,2 / 7,12 / 93
Napa,1.3666666666666667,1.2395209580838322,0.03961352657004831,0.08108108108108109,0.11904761904761904,0.08080808080808081,3 / 37,5 / 42,8 / 99
Newark,,1.1103896103896105,0.000835421888053467,0.1111111111111111,0.25,0.16312056737588654,1 / 9,1 / 4,23 / 141
Novato,3.2777777777777777,0.6433734939759036,0.19101123595505617,,,0.029411764705882353,0 / 0,0 / 0,2 / 68
Oakland,1.9841584456045993,1.2998306806637319,0.19654022509378907,,,0.07246376811594203,0 / 0,0 / 0,25 / 345
Oakley,,1.1078767123287672,0.0,0.0,1.0,0.14285714285714285,0 / 6,1 / 1,1 / 7
Pacifica,,0.21307506053268765,0.0,0.0,0.0,0.0,0 / 18,0 / 9,0 / 43
Palo Alto,1.0,0.2630784708249497,0.0248565965583174,0.01818181818181818,0.0,0.01775147928994083,3 / 165,0 / 4,3 / 169
Petaluma,0.8202173913043478,1.1798657718120806,0.17178612059158135,,,0.08139534883720931,0 / 0,0 / 0,7 / 86
Piedmont,1.0,0.8,0.020833333333333332,,0.017241379310344827,0.017241379310344827,0 / 0,1 / 58,1 / 58
Pinole,1.0,0.04377104377104377,0.07692307692307693,0.0,0.03225806451612903,0.016666666666666666,0 / 4,1 / 31,1 / 60
Pittsburg,1.3262626262626263,0.9264197530864198,0.2931769722814499,0.0,0.17647058823529413,0.14285714285714285,0 / 7,3 / 17,4 / 28
Pleasant Hill,,0.42857142857142855,0.005208333333333333,,,0.034482758620689655,0 / 0,0 / 0,1 / 29
Pleasanton,0.9289749798224375,1.0270924044508951,0.3301931229392369,0.25,0.27586206896551724,0.22058823529411764,3 / 12,8 / 29,15 / 68
Portola Valley,1.375,1.234375,0.13924050632911392,,0.10526315789473684,0.1282051282051282,0 / 0,8 / 76,10 / 78
Redwood City,2.4,1.0656149157404087,0.008075370121130552,0.0,0.07692307692307693,0.017857142857142856,0 / 15,1 / 13,1 / 56
Richmond,1.0303255067907615,0.40492813141683776,0.005070993914807302,,0.008968609865470852,0.013452914798206279,0 / 0,2 / 223,3 / 223
Rio Vista,,1.7123745819397993,0.0,,0.043478260869565216,0.043478260869565216,0 / 0,1 / 23,1 / 23
Rohnert Park,,1.4149054505005563,0.0,0.0,0.0,0.02857142857142857,0 / 3,0 / 1,1 / 35
Ross,,1.0,0.0,0.0,0.0,0.0,0 / 8,0 / 11,0 / 25
San Anselmo,1.0,1.509433962264151,0.1375,0.043478260869565216,,0.053691275167785234,1 / 23,0 / 0,8 / 149
San Bruno,0.4266666666666667,0.21645021645021645,0.128,0.0,,0.0,0 / 6,0 / 0,0 / 6
San Carlos,2.2738095238095237,0.8640939597315436,0.10097087378640776,0.01910828025477707,0.10810810810810811,0.03133903133903134,6 / 314,4 / 37,11 / 351
San Francisco,4.676238624535908,0.9030794277598808,0.19481416132867937,0.02656449553001277,0.043315907393577296,0.046631138180433955,104 / 3915,58 / 1339,245 / 5254
San Jose,1.0482097304716183,0.48255416191562145,0.14148156899810965,0.07317073170731707,0.096,0.09879032258064516,18 / 246,24 / 250,49 / 496
San Leandro,1.0,0.06034105815478793,0.007246376811594203,0.0,0.029411764705882353,0.014285714285714285,0 / 53,1 / 34,2 / 140
San Mateo,1.3599456818863198,0.5458064516129032,0.44208037825059104,0.1,0.1,0.07446808510638298,3 / 30,3 / 30,7 / 94
San Pablo,1.0,0.18930957683741648,0.011764705882352941,0.0,0.02631578947368421,0.008,0 / 62,1 / 38,1 / 125
San Rafael,0.20930232558139536,0.23634558093346575,0.04201680672268908,0.125,0.058823529411764705,0.057971014492753624,1 / 8,1 / 17,4 / 69
San Ramon,0.8571428571428571,1.36908962597036,0.009278350515463918,0.0,0.0,0.010526315789473684,0 / 30,0 / 4,2 / 190
Santa Clara,1.9473648017735379,1.5206450036647936,0.13801413881748073,0.04830917874396135,0.07142857142857142,0.05429864253393665,10 / 207,1 / 14,12 / 221
Santa Rosa,0.1,0.37418847137517214,0.0005257623554153522,,,0.0,0 / 0,0 / 0,0 / 34
Saratoga,,0.18906605922551253,0.0,0.0,,0.0,0 / 8,0 / 0,0 / 14
Sausalito,,0.3670886075949367,0.0,0.0,0.0,0.011494252873563218,0 / 60,0 / 27,1 / 87
Sebastopol,0.75,0.225,0.07407407407407407,,0.044444444444444446,0.04081632653061224,0 / 0,2 / 45,2 / 49
Sonoma,0.10256410256410256,1.0218978102189782,0.02857142857142857,0.0,0.2,0.043478260869565216,0 / 13,1 / 5,1 / 23
South San Francisco,6.135149229781772,0.5826180257510729,0.3453038674033149,0.12,0.1,0.14285714285714285,3 / 25,1 / 10,5 / 35
Suisun City,,0.16435643564356436,0.0,0.0,0.0,0.0,0 / 1,0 / 31,0 / 36
Sunnyvale,1.0010057092665787,0.6056493030080704,0.1665657177468201,0.06506849315068493,0.2,0.07,19 / 292,1 / 5,21 / 300
Tiburon,,0.2692307692307692,0.0,0.0,0.0,0.0,0 / 3,0 / 2,0 / 5
Union City,,0.38788426763110306,0.0,0.16666666666666666,0.06666666666666667,0.05714285714285714,1 / 6,1 / 15,2 / 35
Vacaville,2.689655172413793,1.5156826568265682,0.04747413268411443,0.0,0.11428571428571428,0.07692307692307693,0 / 44,8 / 70,10 / 130
Vallejo,0.875,0.19089574155653452,0.015384615384615385,,0.006666666666666667,0.009933774834437087,0 / 0,2 / 300,3 / 302
Walnut Creek,,0.680089485458613,0.0,0.008264462809917356,0.5,0.016129032258064516,1 / 121,1 / 2,2 / 124
Windsor,,0.45454545454545453,0.025,0.0,0.0,0.19607843137254902,0 / 3,0 / 4,10 / 51
Woodside,,1.1612903225806452,0.09722222222222222,,0.011278195488721804,0.015037593984962405,0 / 0,3 / 266,4 / 266
Yountville,,0.8823529411764706,0.0,0.0,0.0,0.14285714285714285,0 / 5,0 / 9,2 / 14
Overall,2.4456109683315423,0.7621628810043087,0.14447337013798253,0.03491655969191271,0.05502846299810247,0.058095238095238096,272 / 7790,290 / 5270,915 / 15750
